"#","Reference","Value","Datasheet","Footprint","Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","VPN","Description","Qty","MPN","VLNK"
"1","C1001,C1003","470u","https://www.reichelt.de/elko-radial-470-f-16-v-rm-5-0-85-c-2000h-20--rad-470-16-p15148.html?&trstct=pol_0&nbc=1","fp:CP_Radial_D10.0mm_P5.00mm","","","","","RAD 470/16","Polarized capacitor","2","","https://www.reichelt.de/elko-radial-470-f-16-v-rm-5-0-85-c-2000h-20--rad-470-16-p15148.html?&trstct=pol_0&nbc=1"
"2","C1002","10u","https://cdn-reichelt.de/documents/datenblatt/B300/WIMA_MKS_2.pdf","fp:C_Rect_L7.2mm_W11.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","","","","MKS2-50 10µ","Unpolarized capacitor","1","","https://www.reichelt.de/mks2-pet-kondensator-10-f-5-50-vdc-rm-5-mks2-50-10--p172683.html?&trstct=pos_11&nbc=1"
"3","D1001,D1002","1N4001","https://cdn-reichelt.de/documents/datenblatt/A400/1N4001-1N4007_LUNSURE.pdf","fp:D_DO-41_SOD81_P10.16mm_Horizontal","","","","","1N 4001","Diode","2","","https://www.reichelt.de/gleichrichterdiode-50-v-1-a-do-41-1n-4001-p1723.html?&trstct=pos_0&nbc=1"
"4","J1001","Screw_Terminal_01x06","https://cdn-reichelt.de/documents/datenblatt/C100/AKL101%23RIA.pdf","fp:TerminalBlock_MetzConnect_Type101_RT01606HBWC_1x06_P5.08mm_Horizontal","","","","Excluded from simulation","AKL 101-06","Generic screw terminal, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","1","","https://www.reichelt.de/anschlussklemme-6-pol-2-mm-rm-5-08-akl-101-06-p36609.html?search=AKL+101-06"
"5","J1004","AudioJack2_Ground_Switch","https://cdn-reichelt.de/documents/datenblatt/C160/KB3SPRS.pdf","fp:Jack_3.5mm_Ledino_KB3SPRS_Horizontal","","","","Excluded from simulation","EBS 35","Audio Jack, 2 Poles (Mono / TS), Grounded Sleeve, Switched Pole (Normalling)","1","","https://www.reichelt.de/klinkeneinbaubuchse-3-5-mm-stereo-ebs-35-p7301.html?&trstct=pol_4&nbc=1"
"6","Q1001,Q1002","FZT 653 ZET","https://cdn-reichelt.de/documents/datenblatt/A100/FZT653.pdf","fp:SOT-223-3_TabPin2","","","","","FZT 653 ZET","NPN transistor, base/collector/emitter","2","","https://www.reichelt.de/bipolartransistor-npn-100-v-2-a-2-w-sot-223-fzt-653-zet-p219138.html?&trstct=pos_0&nbc=1"
"7","Q1003","FZT 753 ZET","https://cdn-reichelt.de/documents/datenblatt/A100/FZT753.pdf","fp:SOT-223-3_TabPin2","","","","","FZT 753 ZET","PNP transistor, base/collector/emitter","1","","https://www.reichelt.de/bipolartransistor-pnp-100-v-2-a-2-w-sot-223-fzt-753-zet-p216608.html?&trstct=pol_5&nbc=1"
"8","Q1004,Q1005,Q1006","-- mixed values --","~","fp:TO-92_Inline_Wide_NOcourtyard","DNP","","","Excluded from simulation","","-- mixed values --","3","",""
"9","R1001","47k","https://cdn-reichelt.de/documents/datenblatt/B400/METALL%23YAG.pdf","fp:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","METALL 47,0K","Resistor","1","","https://www.reichelt.de/widerstand-metallschicht-47-0-kohm-0207-0-6-w-1--metall-47-0k-p11823.html?&trstct=pol_0&nbc=1"
"10","R1002","150","https://cdn-reichelt.de/documents/datenblatt/B400/METALL%23YAG.pdf","fp:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","","","METALL 150","Resistor","1","","https://www.reichelt.de/widerstand-metallschicht-150-ohm-0207-0-6-w-1--metall-150-p11527.html"
"11","RV1001","20k","https://www.reichelt.de/praezisionspotentiometer-25-gaenge-stehend-20-kohm-64w-20k-p2705.html?&trstct=pol_2&nbc=1","fp:Potentiometer_Bourns_3296W_Vertical","","","","","64W-20K","Potentiometer","1","","https://www.reichelt.de/praezisionspotentiometer-25-gaenge-stehend-20-kohm-64w-20k-p2705.html?&trstct=pol_2&nbc=1"
